J2000 65.8094475111deg -1.34890708889deg 6.26420408017e-07 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34835153333deg 9.56816537927e-07 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34779597778deg 1.40626626857e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34724042222deg 1.98876082932e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34668486667deg 2.70628584928e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34612931111deg 3.54356894706e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34557375556deg 4.46461710815e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.3450182deg 5.41257169856e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34446264444deg 6.31392206515e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34390708889deg 7.08713789412e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34335153333deg 7.65453230342e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34279597778deg 7.95504331728e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34224042222deg 7.95504331728e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34168486667deg 7.65453230342e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34112931111deg 7.08713789412e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.34057375556deg 6.31392206515e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.3400182deg 5.41257169856e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.33946264444deg 4.46461710815e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.33890708889deg 3.54356894706e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.33835153333deg 2.70628584928e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.33779597778deg 1.98876082932e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.33724042222deg 1.40626626857e-06 Jy 241.23GHz point 
J2000 65.8094475111deg -1.33668486667deg 9.56816537927e-07 Jy 241.23GHz point 
J2000 65.8094475111deg -1.33612931111deg 6.26420408017e-07 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34890708889deg 9.56816537923e-07 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34835153333deg 1.46147519386e-06 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34779597778deg 2.14798050203e-06 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34724042222deg 3.03770315768e-06 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34668486667deg 4.13367608047e-06 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34612931111deg 5.41257169853e-06 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34557375556deg 6.81941301705e-06 Jy 241.23GHz point 
J2000 65.8100030667deg -1.3450182deg 8.26735216093e-06 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34446264444deg 9.64410637613e-06 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34390708889deg 1.08251433971e-05 Jy 241.23GHz point 
J2000 65.8100030667deg -1.34335153333deg 1.16918015509e-05 Jy 241.23GHz point 
